City,Zone,Name,Nature,Heritage,Age
Pune City,Zone 1,Agakhan Palace Complex (Kasturba Gandhi Samadhi and Grounds),Monument,NA,NA
Pune City,NA,"Ahilyabai Holkar Ghat, Sangmeshwar Temple & other temple",Monument,NA,NA
Pune City,NA,Amruteshwar- Siddheshwar Temple Complex,Building,NA,NA
Pune City,NA,Baloba Munja Mandir,Monument,NA,NA
Pune City,Zone 5,Belbaug Temple Complex and Garden,Monument,NA,NA
Pune City,NA,Bhandarkar Oriental Research Inst Complex,Monument,NA,NA
Pune City,Zone 5,Bharat Itihaas Samshodhan Mandal,Monument,NA,NA
Pune City,Zone 5,Bhavani Mata Mandir,Monument,NA,NA
Pune City,NA,Bhide Wada,Street,NA,NA
Pune City,Zone 1,Botanical Survey of India,Monumnet ,NA,NA
Pune City,Zone 1,Central Building Complex,Monumnet ,NA,NA
Pune City,NA,Central Post and Telegraph Office (General Post Office),Monumnet ,NA,NA
Pune City,Zone 2,Chaturshringi Temple and Hill,Monumnet ,NA,NA
Pune City,NA,City Post,Monumnet ,NA,NA
Pune City,Zone 2,College of Agriculture Complex,Monumnet ,NA,NA
Pune City,Zone 2,College of Engineering Pune Complex,Monumnet ,NA,NA
Pune City,Cantonment Area,Council Hall,Monumnet ,NA,NA
Pune City,Zone 1,Deccan College complex,Monumnet ,NA,NA
Pune City,NA,Dhakta Sheikh Salla Dargah,Monumnet ,NA,NA
Pune City,Zone 2,District and Sessions Court,Monumnet ,NA,NA
Pune City,Zone 1,Don Bosco Youth Centre,Monumnet ,NA,NA
Pune City,Zone 2,Fergusson College Complex,Monumnet ,NA,NA
Pune City,Zone 5,Gokhale Hall,Monumnet ,NA,NA
Pune City,Zone 2,"Gokhale Institute,Residence and Campus",Monumnet ,NA,NA
Pune City,NA,Hari Mandir (Prarthana Samaj),Monumnet ,NA,NA
Pune City,NA,Harihareshwar Mandir,Monumnet ,NA,NA
Pune City,NA,Hirabaug Town Hall,Monumnet ,NA,NA
Pune City,Zone 2,Jangli Maharaj Samadhi Complex,Monumnet ,NA,NA
Pune City,NA,Jaykar Bungalow,Monumnet ,NA,NA
Pune City,NA,Jehangir Bungalow (Garden Reach)+Water Tower,Monumnet ,NA,NA
Pune City,Zone 5,Kala Ram Mandir Complex,Monumnet ,NA,NA
Pune City,NA,a) Maharshi Karve Kutir b) Karve hostel c) Anandibai Karve prathmic Shala,Monumnet ,NA,NA
Pune City,NA,Kasba Ganpati Mandir,Monumnet ,NA,NA
Pune City,NA,Katraj Dams and lakes (upper and lower)+Uchhwas+Aquaduct,Monumnet ,NA,NA
Pune City,Zone 5,Kesari Wada,Monumnet ,NA,NA
Pune City,Zone 5,Khunya Murlidhar Temple Complex,Monumnet ,NA,NA
Pune City,NA,Kumbharves Dharan (Dam),Monumnet ,NA,NA
Pune City,Zone 5,Lal Mahal ,Monumnet ,NA,NA
Pune City,Zone 5,Laxmaneshwar Mandir,Monumnet ,NA,NA
Pune City,Zone 5,Mahatma Phule Mandai Complex,Monumnet ,NA,NA
Pune City,Zone 5,Mahatma Phule Wada,Street,NA,NA
Pune City,Zone 5,Modi Ganpati Mandir,Monumnet ,NA,NA
Pune City,NA,Nagarkar Wada (Raghunath Daji Niwas),Monumnet ,NA,NA
Pune City,Zone 1,Nageshwar Temple Complex,Monumnet ,NA,NA
Pune City,Zone 5,Nana Wada,Monumnet ,NA,NA
Pune City,Zone 1,Ohel David Synagogue and Memorial (Lal Dewal),Monumnet ,NA,NA
Pune City,Zone 1,Omkareshwar Temple Complex and Ghats,Monumnet ,NA,NA
Pune City,Zone 5,Panch Haud Mission Church (Pavitra Naam Devalay),Monumnet ,NA,NA
Pune City,NA,Parsi Agyari,Street,NA,NA
Pune City,NA,"Parvati Hill, steps, Landscape and Temple complex",Monumnet ,NA,NA
Pune City,Zone 2,Pataleshwar Caves,Monumnet ,NA,NA
Pune City,NA,Poonawala Bungalow (Hoshang Dalal),Monumnet ,NA,NA
Pune City,NA,Prasannyeshwar Temple,Monumnet ,NA,NA
Pune City,NA,Pune Archives (Peshwe Daftar),Monumnet ,NA,NA
Pune City,Zone 5,Pune Nagar Wachan Mandir,Monumnet ,NA,NA
Pune City,NA,a) Main Building Pune University b) Millenium Gate Police Chowky c) Main Gate Police Chowky,Monumnet ,NA,NA
Pune City,Zone 5,Pushtimarg Mandir,Monumnet ,NA,NA
Pune City,Zone 1,Indian Railway Institute of Civil Engineering,Monumnet ,NA,NA
Pune City,Zone 2,Raj Bhavan Complex,Monumnet ,NA,NA
Pune City,Zone 5,Rameshwar Mandir Complex,Monumnet ,NA,NA
Pune City,Zone 5,Raste Wada Complex,Monumnet ,NA,NA
Pune City,NA,"Sarasbaug Temple, Dharan & Bridge",Monumnet ,NA,NA
Pune City,NA,Sasoon Hospital,Building,NA,NA
Pune City,Zone 5,Savarkar Smarak,Monumnet ,NA,NA
Pune City,Zone 5,Shaniwarwada,Monumnet ,NA,NA
Pune City,Zone Zone 4,Shinde Chatri and Complex,Monumnet ,NA,NA
Pune City,NA,Simla Office( India Meteriological Dept.),Building,NA,NA
Pune City,NA,SNDT College Complex + Zopdi,Building,NA,NA
Pune City,Zone 2,Someshwar Mandir,Monumnet ,NA,NA
Pune City,Zone 3,St Crispin's Church,Monumnet ,NA,NA
Pune City,Zone 1,St. Mathew's Church,Monumnet ,NA,NA
Pune City,Zone 1,St. Paul's Church,Monumnet ,NA,NA
Pune City,Zone 5,Tambdi Jogeshwari Temple and complex,Monumnet ,NA,NA
Pune City,Zone 5,Thorla Sheikh Salla Dargah and Campus,Monumnet ,NA,NA
Pune City,Zone 5,Trishund Ganpati Mandir,Monumnet ,NA,NA
Pune City,Zone 5,Tulshibaug Mandir Complex,Monumnet ,NA,NA
Pune City,Zone 5,Vishrambaugwada,Monumnet ,NA,NA
Pune City,NA,Vitthalwadi Temple Complex and Ghat,Monumnet ,NA,NA
Pune City,NA,Agharkar Research Institute,Building,NA,NA
Pune City,NA,Akra Maruti and Ram Mandir Complex,Monumnet ,NA,NA
Pune City,NA,Aryabhushan Bhavan,Monumnet ,NA,NA
Pune City,NA,Ashley House,Building,NA,NA
Pune City,NA,Ashtabhuja Durgadevi Temple,Monumnet ,NA,NA
Pune City,NA,Aundh Shiv Mandir,Monumnet ,NA,NA
Pune City,NA,Aundh Vitthal Mandir,Monumnet ,NA,NA
Pune City,NA,B J Medical College and Hostels,Building,NA,NA
Pune City,NA,BMCC (Brihan Maharashtra college of commerce),Building,NA,NA
Pune City,NA,Brothers Deshpande Memorial Church,Monumnet ,NA,NA
Pune City,NA,Bund Garden(Fritzgerald) Bridge,Open Space,NA,NA
Pune City,NA,Chandraprabhu Maharaj Digambar Jain Mandir ,Monumnet ,NA,NA
Pune City,NA,Commonwealth Building,Building,NA,NA
Pune City,NA,Dulya Maruti Mandir,Monumnet ,NA,NA
Pune City,NA,"Ganesh Temple , Ganeshkhind",Monumnet ,NA,NA
Pune City,NA,Ganpateshwar Mandir,Monumnet ,NA,NA
Pune City,NA,Gaokos Maruti Temple,Monumnet ,NA,NA
Pune City,NA,Ghorpade Ghat and Old Trimbakeshwar Temple,Monumnet ,NA,NA
Pune City,NA,Gundacha Ganapati ,Monumnet ,NA,NA
Pune City,NA,Harris Bridge,Open Space,NA,NA
Pune City,NA,HHCP Huzurpaga School Complex,Building,NA,NA
Pune City,NA,Holkar Bridge,Open Space,NA,NA
Pune City,NA,Holkar Chatri,Monument,NA,NA
Pune City,NA,Kedareshwar Mandir,Monument,NA,NA
Pune City,NA,Lakdi Pul Vitthal Mandir,Monument,NA,NA
Pune City,NA,Lakhere Maruti Mandir,Monument,NA,NA
Pune City,NA,Laxmibai Raste Mandir,Monument,NA,NA
Pune City,NA,"Narayaneshwar Mandir (Mahadeo Mandir, Next to Natuwada Complex)",Monument,NA,NA
Pune City,NA,Mobo's Hotel,Building,NA,NA
Pune City,NA,Mrutyunjayeshwar Temple,Monument,NA,NA
Pune City,NA,Mujumdar Wada,Monument,NA,NA
Pune City,NA,Nagnath Paar,Monument,NA,NA
Pune City,NA,Naik Wada,Monument,NA,NA
Pune City,NA,Narpatgir Vishnu Mandir ,Monument,NA,NA
Pune City,NA,Narsimha Laxmi Mandir,Monument,NA,NA
Pune City,NA,a) Natuwada b) Mahadev Mandir inside Natuwada,Monument,NA,NA
Pune City,NA,Navin Marathi School Complex (Raman Baug Shala),Building,NA,NA
Pune City,NA,NMV School (Nutan Marathi Vidyalay),Building,NA,NA
Pune City,NA,New English School,Building,NA,NA
Pune City,NA,Office of Controller of Defence Accounts,Building,NA,NA
Pune City,NA,Das Marutu Mandir and Paar,Monument,NA,NA
Pune City,NA,Paar and Maruti Temple,Monument,NA,NA
Pune City,NA,Paar- Bhandi Ali,Monument,NA,NA
Pune City,NA,Panchamukhi Maruti Mandir,Monument,NA,NA
Pune City,NA,Parnakuti Bungalow and hill,Building,NA,NA
Pune City,NA,Pasodya Maruti Mandir,Monument,NA,NA
Pune City,NA,Pasodya Vithoba Mandir,Monument,NA,NA
Pune City,NA,Pavan Maruti Temple,Monument,NA,NA
Pune City,NA,Phadake Ganpati Temple,Monument,NA,NA
Pune City,NA,Photo Zinco Graphic Press,Building,NA,NA
Pune City,NA,Police Motor Vehicle Transport Office (Police Chowky Complex),Building,NA,NA
Pune City,NA,Poona Club,Building,NA,NA
Pune City,NA,Prabhat Studio Complex (Film and Television Institute of India),Building,NA,NA
Pune City,NA,Ranade Institute,Building,NA,NA
Pune City,NA,Rokdoba Mandir Complex (incl Ram Mandir),Monument,NA,NA
Pune City,NA,S P College Complex with Lady Ramabai Hall,Building,NA,NA
Pune City,NA,Sambhaji Bridge (Lakdi Pul),Open Space,NA,NA
Pune City,NA,Sangam Bridge (Wellesley Bridge),Open Space,NA,NA
Pune City,NA,Sangam Bungalow,Building,NA,NA
Pune City,NA,Shani Temple and Paar,Monument,NA,NA
Pune City,NA,Shinde Paar & Maruti Mandir,Monument,NA,NA
Pune City,NA,"Shitaladevi Paar, near Jogeshwari Temple",Monument,NA,NA
Pune City,NA,Shivaji Bridge (Llyods Bridge),Open Space,NA,NA
Pune City,NA,Shri Ram Mandir behind Tilak Smarak,Monument,NA,NA
Pune City,NA,SNDT Kanyashala,Building,NA,NA
Pune City,NA,Someshwar Temple and Ghats,Monument,NA,NA
Pune City,NA,Spicer Memorial College Complex,Building,NA,NA
Pune City,NA,SSPMS Highschool Complex & Shivaji Statue,Building,NA,NA
Pune City,NA,St Hellena's School Complex,Building,NA,NA
Pune City,NA,St. Mira's Educational Complex & Sadhu Vasvani Mission,Building,NA,NA
Pune City,NA,St. Ornella's School ,Building,NA,NA
Pune City,NA,St. Ornella's Church,Monument,NA,NA
Pune City,NA,Succath Shaloma Synagogue ,Building,NA,NA
Pune City,NA,TATA TMTC Bunglow,Building,NA,NA
Pune City,NA,Theosophical Society,Building,NA,NA
Pune City,NA,Umaji Naik Samadhi and Jail (Mamledar Kacheri) ,Monument,NA,NA
Pune City,NA,Untadya Maruti and Paar,Monument,NA,NA
Pune City,NA,Veer Maruti and Paar,Monument,NA,NA
Pune City,NA,Vetal Temple,Monument,NA,NA
Pune City,NA,Vriddheshwar Temple and Ghats,Monument,NA,NA
Pune City,NA,Wadia College Complex,Building,NA,NA
Pune City,NA,Warad Gupchup Ganpati Mandir Grade I Survey,Monument,NA,NA
Pune City,NA,Yerawda Jail,Building,NA,NA
Pune City,NA,All India Radio,Building,NA,NA
Pune City,NA,Anand Ashram,Building,NA,NA
Pune City,NA,Ardeshir Baug complex and Campus,Building,NA,NA
Pune City,NA,"Balaji Mandir, Bhawani Peth",Monument,NA,NA
Pune City,NA,Bhangya Maruti Mandir,Monument,NA,NA
Pune City,NA,Bharatishwar Mahadeo Mandir,Monument,NA,NA
Pune City,NA,Bhikardas Maruti Temple,Monument,NA,NA
Pune City,NA,Biniwale Wada,Building,NA,NA
Pune City,NA,Cecilia Building,Building,NA,NA
Pune City,NA,Chaphekar Smarak,Monument,NA,NA
Pune City,NA,Chatrapati Shivaji Audyogik Prashikshan Sanstha,Building,NA,NA
Pune City,NA,Christ Prem Seva Sangh,Building,NA,NA
Pune City,NA,Church of Holy Angels,Monument,NA,NA
Pune City,NA,Dagdi Nagoba Temple,Monument,NA,NA
Pune City,NA,Dagdusheth Dutta Mandir,Monument,NA,NA
Pune City,NA,Dashnam Gosavi Samstha Math and Temple,Monument,NA,NA
Pune City,NA,Daulat House,Building,NA,NA
Pune City,NA,Deccan Gymkhana Police station,Building,NA,NA
Pune City,NA,Deccan Gymkhana Post office,Building,NA,NA
Pune City,NA,Deojibaba Math and Samadhi,Monument,NA,NA
Pune City,NA,Diwan House,Building,NA,NA
Pune City,NA,European Tombs ,Monument,NA,NA
Pune City,NA,Florence Bungalow,Building,NA,NA
Pune City,NA,Ganpati – Phadke wada,Building,NA,NA
Pune City,NA,Golden Rock House,Building,NA,NA
Pune City,NA,Gosavipura Chatri - Ramji Gosavi Mandir,Monument,NA,NA
Pune City,NA,Government Polytechnic Old Building,Building,NA,NA
Pune City,NA,Hotel Blue Nile,Building,NA,NA
Pune City,NA,Hotel Homeland,Building,NA,NA
Pune City,NA,Hotel Milan,Building,NA,NA
Pune City,NA,Hotel Ritz,Building,NA,NA
Pune City,NA,Hotel National,Building,NA,NA
Pune City,NA,Jageshwar Temple,Monument,NA,NA
Pune City,NA,Jhanshichi Rani Kanyashala,Building,NA,NA
Pune City,NA,Johari Mahadeo,Monument,NA,NA
Pune City,NA,Joshi Shriram Mandir,Monument,NA,NA
Pune City,NA,Kadbe Ali talim,Building,NA,NA
Pune City,NA,Kaka Kuwa mansion,Building,NA,NA
Pune City,NA,Kali Jogeshwari Mandir,Monument,NA,NA
Pune City,NA,Kanheyalal Saraf building,Building,NA,NA
Pune City,NA,Laxminaryan temple,Monument,NA,NA
Pune City,NA,LIC Building,Building,NA,NA
Pune City,NA,Limbaraj Maharaj temple,Monument,NA,NA
Pune City,NA,Maharashtra Mandal Talim,Monument,NA,NA
Pune City,NA,MES Boys Highschool,Building,NA,NA
Pune City,NA,Modern High school,Building,NA,NA
Pune City,NA,Murlidhar Mandir ,Monument,NA,NA
Pune City,NA,Murlidhar Mandir (Maheshwari Murlidhar Mandir),Monument,NA,NA
Pune City,NA,N.M. Wadia Hospital Old Building,Building,NA,NA
Pune City,NA,Nana Haud,Monument,NA,NA
Pune City,NA,Nanasaheb Peshwe Samadhi,Monument,NA,NA
Pune City,NA,Navloba Complex,Building,NA,NA
Pune City,NA,Nivdungya Vithoba,Monument,NA,NA
Pune City,NA,Panchaleshwar Mandir,Monument,NA,NA
Pune City,NA,Pandav caves/ Mandir,Monument,NA,NA
Pune City,NA,Patrya Maruti Temple,Monument,NA,NA
Pune City,NA,Perugate Police Chowkey,Building,NA,NA
Pune City,NA,Phani Ali Talim,Building,NA,NA
Pune City,NA,Pune District Central Co-op Bank Ltd,Building,NA,NA
Pune City,NA,Pune Vidyarthi Griha and Ram Mandir,Monument,NA,NA
Pune City,NA,Ram Bhuvan,Monument,NA,NA
Pune City,NA,Temple in Narsimha Bhavan ,Monument,NA,NA
Pune City,NA,Ruiia Bunglow,Building,NA,NA
Pune City,NA,Sadashiv Peth Haud+Nagoba Gumthi+Vishweshwar Temple,Monument,NA,NA
Pune City,NA,Samadhi + temples at Omkareshwar Ghat,Monument,NA,NA
Pune City,NA,Sapindya Mahadeo Mandir,Monument,NA,NA
Pune City,NA,Saraswat Colony Ganpati mandir/ Mahadeo Mandir,Monument,NA,NA
Pune City,NA,Sardar Mudliar House,Building,NA,NA
Pune City,NA,Shiv Mandir in S V Union,Monument,NA,NA
Pune City,NA,Shivajinagar Railway Station Old Building,Building,NA,NA
Pune City,NA,"ShriRam Mandir, Near Panchmukhi Maruti",Monument,NA,NA
Pune City,NA,"Siddheshwar Mandir, ",Monument,NA,NA
Pune City,NA,"Siddhivinayak Ganapati Mandir, ",Monument,NA,NA
Pune City,NA,Sonya Maruti Temple,Monument,NA,NA
Pune City,NA,South Court no 12,Open Space,NA,NA
Pune City,NA,St. Emmanuel’s Church,Monument,NA,NA
Pune City,NA,St. Felix High School Old Building,Building,NA,NA
Pune City,NA,State CID Branch Office,Building,NA,NA
Pune City,NA,Steps of Old Konkan Darwaza of Pandharicha Kot ,Monument,NA,NA
Pune City,NA,Tata Bunglow,Building,NA,NA
Pune City,NA,Temple of Maruti  and Chinchechi Talim,Monument,NA,NA
Pune City,NA,"Temple in Sugandhi Chowk, Kasba/ Maruti Mandir Sugandhi Chowk",Monument,NA,NA
Pune City,NA,Tilak Maharashtra Vidyapeeth Old Building,Building,NA,NA
Pune City,NA,Trimbakeshwar Mandir,Monument,NA,NA
Pune City,NA,Twashta Kasar Kali Temple,Monument,NA,NA
Pune City,NA,Villa Maria,Monument,NA,NA
Pune City,NA,Vimlabai Garware High school Old Building,Building,NA,NA
Pune City,NA,Vinchurkar Wada,Building,NA,NA
